Gray,Brightness
255,200.1
251,193.8
247,186.2
239,173.1
231,160.1
203,121.7
175,87.4
147,59.9
108,30.2
80,15.48
52,6.03
24,1.13
16,0.45
8,0.10
4,0.02
0,0.00
