Gray,Brightness
255,200.1
251,193.8
247,187.2
239,175.1
231,164.1
203,126.7
175,93.4
147,65.9
108,34.2
80,18.48
52,7.93
24,2.23
16,1.4
8,0.853
4,0.677
0,0.58
